"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-09","6.93","0.00",,"67","41","    1",,,,,,,"    1",,,,,,,,,,"    1"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-10","12.53","0.80",,"69","45","    1","    1","    1",,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-11","13.65","0.00",,"51","38",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-12","8.50","0.00",,"60","30",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-13","4.47","0.00",,"59","32",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-14","7.61","0.00",,"74","34",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-15","10.96","0.00",,"76","54",,,,,,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-16","12.75","0.00",,"81","68",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-17","11.63","0.00",,"70","48","    1",,,,,,,"    1",,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-18","14.54","0.03",,"48","37","    1",,,,,,,,,,,"    1","    1",,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-19","9.40","0.00",,"38","34","    1",,,,,,,,,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-20","6.93","0.00",,"55","36","    1",,,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-21","8.05","0.00",,"62","47","    1","    1",,,,,,"    1",,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-22","5.14","0.00",,"80","60","    1","    1",,,,,,"    1",,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-23","12.75","0.00",,"73","53",,,,,,,,"    1",,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-24","9.17","0.05",,"61","48","    1",,,,,,,,,,,"    1","    1",,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-25","9.17","0.34",,"59","54","    1",,,,,,,,,,,"    1","    1",,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-26","7.38","0.00",,"67","45",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-27","6.93","0.00",,"73","39","    1",,,,,,,"    1",,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-02-28","7.38","0.00",,"77","50","    1",,,,,,,,,,,,,,,,,"    1"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-01","8.05","0.00",,"81","56","    1",,,,,,,,,,,,,,,,,"    1"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-02","5.59","0.00",,"82","63",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-03","6.49","0.00",,"80","57","    1","    1",,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-04","9.84","0.00",,"74","48","    1",,,,,,,,,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-05","7.38","0.00",,"75","56","    1",,,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-06","4.70","0.00",,"83","60","    1","    1",,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-07","11.18","0.00",,"76","63","    1",,,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-08","15.21","0.00",,"82","67","    1",,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-09","9.62","0.01",,"80","54",,,,,,,,"    1",,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-10","11.41","0.00",,"80","47","    1","    1",,,,,,"    1",,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-11","14.54","0.00",,"85","72","    1",,,,,,,"    1",,,,"    1",,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-12","14.99","0.00",,"84","72","    1",,,,,,,,,,,"    1","    1",,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-13","9.40","0.02",,"77","59","    1",,,,,,,"    1",,,,"    1","    1",,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-14","10.96","0.00",,"74","51",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-15","12.30","0.00",,"71","42",,,,,,,,,,,,,,,,,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-16","6.71","0.00",,"83","65","    1",,,,,,,"    1",,,,"    1",,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-17","8.50","0.00",,"79","64","    1",,,,,,,,,,,,,,"    1",,,
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2006-03-18","13.42","0.01",,"68","61","    1",,,,,,,,,,,"    1",,,"    1",,,
